title,author,description
Radio Free Albemuth,Philip K. Dick,In this alternate history the corrupt US President Ferris F.
Pride and Prejudice,Jane Austen,"The narrative opens with Mr Bingley, a wealthy, charming and social young bachelor, moving into Netherfield Park in the neighbourhood of the Bennet family."
Pale Fire,Vladimir Vladimirovich Nabokov,Shade's poem digressively describes many aspects of his life.
Pacific Overtures,Stephen Sondheim,";Act I Conceived as a sort of Japanese playwright's version of an American musical about American influences on Japan, Pacific Overtures begins its journey to the present day in July 1853."
Romeo and Juliet,William Shakespeare,"The play, set in Verona, begins with a street brawl between Montague and Capulet supporters who are sworn enemies."
Rosencrantz & Guildenstern Are Dead,Tom Stoppard,The play opens with Rosencrantz and Guildenstern betting on coin flips.
Ringworld,Larry Niven,The novel opens in 2850.
Rent,Jonathan Larson,On Christmas Eve at 9 P.
Rendezvous with Rama,Arthur C. Clarke,"After a major disaster caused by a meteorite falling in Eastern Italy in 2077, the government of Earth sets up the Spaceguard system as an early warning of arrivals from deep space."
Sense and Sensibility,Jane Austen,When Mr.
Speaker for the Dead,Orson Scott Card,"On Novinha's request for a Speaker, Andrew Wiggin leaves for Lusitania, a colony turned into a virtual prison, with its expansion severely limited and its whole existence devoted to the work of xenologers who study the Pequeninos, the first sentient beings found since the destruction of Formics."
Starship Troopers,Robert A. Heinlein,"Starship Troopers takes place in the midst of an interstellar war between the Terran Federation of Earth and the Arachnids (referred to as ""The Bugs"") of Klendathu."
Sir Gawain and the Green Knight,Pearl Poet,In Camelot on New Year's Day King Arthur's court is exchanging gifts and waiting for the feasting to start when the king asks first to see or hear of an exciting adventure.
Stuart Little,E. B. White,The story is episodic.
The Lord of the Rings,J. R. R. Tolkien,"Long before the events of the novel, the Dark Lord Sauron forges the One Ring to dominate the other Rings of Power and corrupt those who wear them: the leaders of Men, Elves and Dwarves."
The Doors of Perception,Aldous Huxley,"After a brief overview of research into mescaline, Huxley recounts that he was given 4/10 of a gram at 11:00 am one day in May 1953."
The Time Machine,H. G. Wells,"The book's protagonist is an English scientist and gentleman inventor living in Richmond, Surrey, identified by a narrator simply as the Time Traveller."
The Shockwave Rider,John Brunner,"The novel is set in the weeks following Nick's recapture after several years on the run, alternating between moral arguments with his interrogator, who is trying to discover why the program's star pupil had absconded, and flashbacks of his career."
The Shining,Stephen King,"In 1976, Jack Torrance is an aspiring writer who is attempting to rebuild his marriage and career, both of which have been nearly ruined by two traits inherited from his late father: alcoholism and an explosive temper."
Mort,Terry Pratchett,"As a teenager, Mort had a personality and temperament that made him rather unsuited to the family farming business."
The Hound of the Baskervilles,Arthur Conan Doyle,"Sir Charles Baskerville is found lying dead on the grounds of his country house, Baskerville Hall."
The Hobbit,J. R. R. Tolkien,"Gandalf tricks Bilbo into hosting a party for Thorin and his band of dwarves, who sing of reclaiming the Lonely Mountain and its vast treasure from the dragon Smaug."
The Great Divorce,C. S. Lewis,"The narrator inexplicably finds himself in a grim and joyless city, the ""grey town"", which is either hell or purgatory depending on how long one stays there."
The Screwtape Letters,C. S. Lewis,"In The Screwtape Letters, C."
The Pit and the Pendulum,Nancy Kilpatrick,The story takes place during the Spanish Inquisition.
The Hunt for Red October,Tom Clancy,"Marko Alexandrovich Ramius, a Lithuanian submarine commander in the Soviet Navy, intends to defect to the United States with his officers on board the experimental nuclear submarine Red October, a Typhoon-class vessel equipped with a revolutionary stealth propulsion system, described as an arrangement of pump-jets nicknamed the ""Caterpillar Drive."
The Cardinal of the Kremlin,Tom Clancy,CIA analyst Jack Ryan attends a diplomatic conference in Moscow as part of an American delegation to the Soviet Union.
Debt of Honor,Tom Clancy,"In New York City, Japanese industrialist Raizo Yamata purchases a controlling interest in an American hedge fund."
Tunnel in the Sky,Robert A. Heinlein,"A Malthusian catastrophe on Earth has been averted by the invention of teleportation, called the ""Ramsbotham jump"", which is used to send Earth's excess population to colonize other planets."
The Mismeasure of Man,Stephen Jay Gould,"The Mismeasure of Man is a critical analysis of the early works of scientific racism about the supposed, biologically inherited (genetic) basis for human intelligence, such as craniometry, the measurement of skull volume and its relation to intellectual faculties."
The Picture of Dorian Gray,Oscar Wilde,"The novel begins on a beautiful summer day with Lord Henry Wotton, a strongly-opinionated man, observing the sensitive artist Basil Hallward painting the portrait of a handsome young man named Dorian Gray, who is Basil's ultimate muse."
The Sentinel,Arthur C. Clarke,The story deals with the discovery of an artifact on Earth's Moon left behind eons ago by ancient aliens.
The Fountains of Paradise,Arthur C. Clarke,"In the 22nd century, Dr Vannevar Morgan is a famous structural engineer who hopes to develop the 'space elevator' from a theoretical concept to reality and enlists the resources of his employers to carry out experiments."
Lord of the Flies,William Golding,"In the midst of a wartime evacuation, a British plane crashes onto an isolated island in a remote region of the Pacific Ocean."
Through the Looking-Glass,Lewis Carroll,"Alice is playing with a white kitten (whom she calls ""Snowdrop"") and a black kitten (whom she calls ""Kitty"")—the offspring of Dinah, Alice's cat in Alice's Adventures in Wonderland—when she ponders what the world is like on the other side of a mirror's reflection."
Waiting for Godot,Samuel Beckett,"Waiting for Godot follows a pair of men who divert themselves while waiting expectantly, vainly for someone named Godot to arrive."
The Wanderer,Fritz Leiber,"The novel is set in a future a few decades ahead of the 1960s, when it was written."
2010: Odyssey Two,Arthur C. Clarke,The story is set nine years after the failure of the Discovery One mission to Jupiter.
Brave New World,Aldous Huxley,The novel opens in London in 632 (AD 2540 in the Gregorian Calendar).
Aeneid,Virgil,The Aeneid can be divided into two halves based on the disparate subject matter of Books 1–6 (Aeneas' journey to Latium in Italy) and Books 7–12 (the war in Latium).
Paradise Lost,John Milton,"The poem is separated into twelve ""books"" or sections, and the lengths of each book varies greatly (the longest being Book IX, with 1,189 lines, and the shortest Book VII, having 640)."
The Merchant of Venice,William Shakespeare,"Bassanio, a young Venetian of noble rank, wishes to woo the beautiful and wealthy heiress Portia of Belmont."
The Invisible Man,H. G. Wells,"A mysterious stranger, Griffin, arrives at the local inn of the English village of Iping, West Sussex, during a snowstorm."
Twenty Thousand Leagues Under the Sea,Emanuel J Mickel,"As the story begins in 1866, a mysterious sea monster, theorized by some to be a giant narwhal, is sighted by ships of several nations; an ocean liner is also damaged by the creature."
Keep the Aspidistra Flying,George Orwell,"Gordon Comstock has 'declared war' on what he sees as an 'overarching dependence' on money by leaving a promising job as a copywriter for an advertising company called 'New Albion'—at which he shows great dexterity—and taking a low-paying job instead, ostensibly so he can write poetry."
Manon Lescaut,Antoine François Prévost,"Set in France and Louisiana in the early 18th century, the story follows the hero, the Chevalier des Grieux, and his lover, Manon Lescaut."
"Lions' Commentary on UNIX 6th Edition, with Source Code",John Lions,"Unix Operating System Source Code Level Six is the kernel source code, lightly edited by Lions to better separate the functionality &mdash; system initialization and process management, interrupts and system calls, basic I/O, file systems and pipes and character devices."
The Myth of Sisyphus,Albert Camus,The essay is dedicated to Pascal Pia and is organized in four chapters and one appendix.
Cymbeline,William Shakespeare,"Imogen (or Innogen), daughter of the British king Cymbeline, is in love with Posthumus Leonatus, a man raised in her father's court who is described as possessing exceeding personal merit and martial skill."
Vanity Fair,William Makepeace Thackeray,"The story opens with Miss Pinkerton's Academy for Young Ladies, where Becky Sharp and Amelia Sedley have just completed their studies and are preparing to depart for Amelia's house in Russell Square."
Northanger Abbey,Jane Austen,"Seventeen-year-old, Catherine Morland is one of ten children of a country clergyman."
